0|iata_code|1|name_rus|2|name_eng|3|city_rus|4|city_eng|5|country_rus|6|latitude|7|longitude
ADT|ADT|Àäà|Àäà|Ada|Ada|Àäà|Àäà|Ada|Ada|ÑØÀ|ÑØÀ|34.804262|34.804262|-96.671200|-96.671200
ADU|ADU|||Ardabil|Ardabil|||Ardabil|Ardabil|Èðàí|Èðàí|38.325678|38.325678|48.424356|48.424356
ADV|ADV|Ýíäîâåð|Ýíäîâåð|Andover|Andover|Ýíäîâåð|Ýíäîâåð|Andover|Andover|Âåëèêîáðèòàíèÿ|Âåëèêîáðèòàíèÿ|51.207|51.207|-1.528|-1.528
ADW|ADW|||Andrews AFB|Andrews AFB|||Camp Springs|Camp Springs|ÑØÀ|ÑØÀ|38.810833|38.810833|-76.867000|-76.867000
ADX|ADX|||Leuchars|Leuchars|||St Andrews|St Andrews|Âåëèêîáðèòàíèÿ|Âåëèêîáðèòàíèÿ|56.372889|56.372889|-2.868444|-2.868444
ADY|ADY|Îëëäåéç|Îëëäåéç|Alldays|Alldays|Îëëäåéç|Îëëäåéç|Alldays|Alldays|ÞÀÐ|ÞÀÐ|-22.679017|-22.679017|29.055517|29.055517
ADZ|ADZ|Îñòðîâ Ñàí Àíäðåñ|Îñòðîâ Ñàí Àíäðåñ|San Andres Island|San Andres Island|Îñòðîâ Ñàí Àíäðåñ|Îñòðîâ Ñàí Àíäðåñ|San Andres Island|San Andres Island|Êîëóìáèÿ|Êîëóìáèÿ|12.583683|12.583683|-81.710919|-81.710919
AEA|AEA|Àáåìàìà-Àòîëë|Àáåìàìà-Àòîëë|Abemama Atoll|Abemama Atoll|Àáåìàìà-Àòîëë|Àáåìàìà-Àòîëë|Abemama Atoll|Abemama Atoll|Êèðèáàòè|Êèðèáàòè|0.490833|0.490833|173.828611|173.828611
AED|AED|||Aleneva|Aleneva|||Aleneva|Aleneva|ÑØÀ|ÑØÀ|58.03333333|58.03333333|-152.9|-152.9
AEG|AEG|Ýê-Ãîäàí|Ýê-Ãîäàí|Aek Godang|Aek Godang|Ýê-Ãîäàí|Ýê-Ãîäàí|Aek Godang|Aek Godang|Èíäîíåçèÿ|Èíäîíåçèÿ|1.400103|1.400103|99.430453|99.430453
AEH|AEH|||Abecher|Abecher|||Abecher|Abecher|×àä|×àä|13.847000|13.847000|20.844333|20.844333
AEI|AEI|Àëüãåñèðàñ|Àëüãåñèðàñ|Algeciras|Algeciras|Àëüãåñèðàñ|Àëüãåñèðàñ|Algeciras|Algeciras|Èñïàíèÿ|Èñïàíèÿ|0|0|0|0
AEK|AEK|Àñåêè|Àñåêè|Aseki|Aseki|Àñåêè|Àñåêè|Aseki|Aseki|Ïàïóà - Íîâàÿ Ãâèíåÿ|Ïàïóà - Íîâàÿ Ãâèíåÿ|-7.350|-7.350|146.183|146.183
AEL|AEL|Àëüáåðò Ëè|Àëüáåðò Ëè|Albert Lea|Albert Lea|Àëüáåðò Ëè|Àëüáåðò Ëè|Albert Lea|Albert Lea|ÑØÀ|ÑØÀ|43.681528|43.681528|-93.367250|-93.367250
AEO|AEO|||Aioun El Atrouss|Aioun El Atrouss|||Aioun El Atrouss|Aioun El Atrouss|Ìàâðèòàíèÿ|Ìàâðèòàíèÿ|16.711293|16.711293|-9.637883|-9.637883
AEP|AEP|||Arpt. Jorge Newbery|Arpt. Jorge Newbery|Áóýíîñ-Àéðåñ|Áóýíîñ-Àéðåñ|Buenos Aires|Buenos Aires|Àðãåíòèíà|Àðãåíòèíà|-34.559175|-34.559175|-58.415606|-58.415606
AER|AER|Àäëåð - Ñî÷è|Àäëåð - Ñî÷è|Adler - Sochi|Adler - Sochi|Àäëåð|Àäëåð|Adler|Adler|Ðîññèÿ|Ðîññèÿ|43.449928|43.449928|39.956589|39.956589
AES|AES|Âèãðà|Âèãðà|Vigra|Vigra|||Aalesund|Aalesund|Íîðâåãèÿ|Íîðâåãèÿ|62.560372|62.560372|6.110164|6.110164
AET|AET|||Allakaket|Allakaket|||Allakaket|Allakaket|ÑØÀ|ÑØÀ|66.551833|66.551833|-152.622167|-152.622167
AEU|AEU|||Abu Musa|Abu Musa|||Abu Musa|Abu Musa|Èðàí|Èðàí|25.875742|25.875742|55.032994|55.032994
AEX|AEX|Àëåêñàíäðèÿ ìåæäóíàðîäíûé|Àëåêñàíäðèÿ ìåæäóíàðîäíûé|Alexandria International|Alexandria International|||Alexandria, LA|Alexandria, LA|ÑØÀ|ÑØÀ|31.327372|31.327372|-92.548556|-92.548556
AEY|AEY|Àêóðåéðè|Àêóðåéðè|Akureyri|Akureyri|Àêóðåéðè|Àêóðåéðè|Akureyri|Akureyri|Èñëàíäèÿ|Èñëàíäèÿ|65.658610|65.658610|-18.072222|-18.072222
AFA|AFA|Ñàí-Ðàôàýëü|Ñàí-Ðàôàýëü|San Rafael|San Rafael|Ñàí-Ðàôàýëü|Ñàí-Ðàôàýëü|San Rafael|San Rafael|Àðãåíòèíà|Àðãåíòèíà|-34.588314|-34.588314|-68.403854|-68.403854
