№ сертификата  эксплуатанта;Наименование списочное;Наименование полное;Аэропорты  базирования;Типы, количество ВС 
567;ЮВТ АЭРО;Акционерное общество  «ЮВТ АЭРО»;Бугульма  Казань;CL-600-2B19 (CRJ-200LR)  (6)
53;ЮТэйр ЗАО;Закрытое акционерное общество  «ЮТэйр»;Рощино  Сургут;Culfstream GVI (G650)  (1), Gulfstream IV-SP  (1), Gulfstream V-SP  (1), Ан-2  (3), Ан-74ТК-100  (4)
6;ЮТэйр ПАО;Публичное акционерное общество «Авиакомпания «ЮТэйр»;Абакан  Березово  Игрим  Москва (Внуково)  Мыс Каменный  Ноябрьск  Сургут  Сыктывкар  Тазовский  Тюмень (Плеханово)  Тюмень (Рощино)  Ханты-Мансийск;AS 350 B3  (4), AS-350B3  (4), AS-355NP  (5), ATR-72  (1), ATR-72-212A  (14), B-737-400  (6), B-737-500  (30), B-737-524  (2), B-737-800  (9), B-767-200  (3), Ми-8АМТ  (12), Ми-8МТВ-1  (10)
34;ЮТэйр-Вертолётные услуги;Акционерное общество «ЮТэйр-Вертолётные услуги»;Нефтеюганск;AS-350B3  (2), AS-355N  (1), AS-355NP  (1), BO-105CBS-5  (1), R44  (3), Ка-32Т  (2), Ми-26Т  (7), Ми-8АМТ  (20), Ми-8МТВ  (1), Ми-8МТВ-1  (16), Ми-8П  (3), Ми-8ПС  (1), Ми-8Т  (75), Ми-8Т(П)  (1)
464;Якутия;Открытое акционерное общество «Авиакомпания «Якутия»;Краснодар (Пашковский)  Москва (Внуково)  Якутск;B-737-800  (3), B-757-236 PCF  (1), DHC-8-311  (2), DHC-8-402  (3), RRJ-95B  (2), Ан-24РВ  (5)
526;Ямал АК ООО;Общество с ограниченной ответственностью «Авиационная компания «Ямал»;Салехард  Тазовский  Тарко-Сале;AS-350B3  (2), Ми-8МТВ-1  (4), Ми-8П  (1), Ми-8Т  (35)
142;Ямал АТК ОАО;Открытое акционерное общество «Авиационная транспортная компания «Ямал»;Москва (Домодедово)  Салехард  Тюмень (Рощино);A320-214  (3), A-320-232  (4), A321-231  (1), B-737-4MO  (1), B-737-400  (1), B-737-48E  (1), B-737-500  (1), CL-600-2B19  (1), CL-600-2B19 (CL-850)  (1), CL-600-2B19 (CRJ-200LR)  (8), L-410 UVP-E20  (2)
463;2-й Архангельский ОАО, АО;Акционерное общество «2-ой Архангельский объединенный авиаотряд»;Архангельск (Васьково);L-410UVP-E  (2), Ан-2  (6), Ан-2Т  (1), Ан-2ТП  (1), Ми-26Т  (2), Ми-8  (1), Ми-8МТВ-1  (2), Ми-8Т  (6)
239;223-й ЛО ФГБУ;Федеральное государственное бюджетное учреждение «Государственная авиакомпания  «223 летный отряд» Министерства обороны  Российской Федерации;Чкаловский;
529;224-й ЛО ОАО;Открытое акционерное общество «Государственная авиакомпания «224 летный отряд»;Тверь(Мигалово);
